t,dsDNA488,dsDNA488647
0.0720896,0.00220014,-0.000221264
0.0753664,0.001716479,0.000445185
0.0786432,0.000495595,0.000189208
0.08192,0.001090152,0.001245331
0.0851968,0.000577292,-7.85E-05
0.0884736,0.000540246,-0.001421716
0.0917504,0.000220277,-0.006276223
0.0950272,0.000468074,-0.001384969
0.098304,0.000380207,-0.002594178
0.1015808,5.36E-05,-0.001210617
0.1048576,0.000832802,-0.000976531
0.1081344,0.00101476,0.000951199
0.1114112,-2.93E-05,0.000324624
0.114688,-9.24E-05,-0.001499276
0.1179648,0.000221846,0.000402496
0.1212416,-0.000300269,-0.00228394
0.1245184,-0.001276386,-0.00620742
0.1277952,-0.001193634,-0.004642
0.131072,-0.000271368,-0.001662839
0.1376256,0.000308089,-0.000485685
0.1441792,0.000250233,0.001160265
0.1507328,0.000443232,0.00099639
0.1572864,-0.000779276,-0.00109287
0.16384,-0.000116931,-0.001853923
0.1703936,-0.000116362,-0.000722429
0.1769472,0.000521601,0.0023296
0.1835008,0.00017319,-0.000274898
0.1900544,0.000536728,-0.000487718
0.196608,0.00050918,-0.003672349
0.2031616,0.001530841,0.000778097
0.2097152,0.001187058,-0.000439869
0.2162688,0.000621699,0.001361826
0.2228224,0.001279471,0.003901588
0.229376,0.001060521,0.003294872
0.2359296,0.00055015,0.001157763
0.2424832,-0.000126997,0.001149163
0.2490368,-6.81E-05,0.001072855
0.2555904,-6.10E-05,0.000475052
0.262144,-0.00114257,-0.000892247
0.2752512,0.000419175,-0.001048148
0.2883584,0.000139824,-0.002486283
0.3014656,0.000552613,-0.001490988
0.3145728,0.000466153,-0.000794047
0.32768,0.000389543,-0.000392801
0.3407872,0.000526472,0.001512254
0.3538944,-0.000215757,0.00172351
0.3670016,-0.000523955,9.48E-05
0.3801088,-0.000548148,0.00025629
0.393216,-0.000611227,-0.000783257
0.4063232,-0.00087545,0.001228286
0.4194304,-7.94E-05,-0.003783059
0.4325376,0.000227123,-0.001213431
0.4456448,0.000269176,-0.002458293
0.458752,-0.000406321,-0.0029163
0.4718592,0.000107243,-0.000625011
0.4849664,-0.000693086,-0.001275197
0.4980736,-0.001114507,-0.00035152
0.5111808,-0.000927083,-0.002142738
0.524288,-0.00049527,-0.002087696
0.5505024,-0.000424587,-0.000704603
0.5767168,7.80E-05,-0.000400933
0.6029312,-3.95E-05,0.000454255
0.6291456,0.000580837,-9.85E-06
0.65536,0.000422152,0.001862054
0.6815744,0.000361373,0.001931326
0.7077888,-0.00056571,0.001027664
0.7340032,0.000514808,9.57E-05
